,osm_id,highway,permlanes,lit,maxspeed,name,oneway,length,freespeed,modes,pav,obst,cross,x_start,y_start,x_end,y_end,capacity,id,inf,geometry,from1,to1
4896,169130612,tertiary,2,,,Ευφρονίου,0,1.739,30.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,478122.7356,4202500.832,478122.7356,4202500.583,1200.0,4897,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (478121.0147416808 4202500.832299299, 478122.7355766329 4202500.583630925)",999.0,999.0
4897,169130613,residential,1,,,Ηριδανού,0,14.152,15.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,478239.9199,4202941.208,478239.9199,4202932.591,1200.0,4898,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (478228.7008966458 4202941.208559672, 478239.9199382915 4202932.591127341)",999.0,999.0
4898,169130614,residential,1,,,Ηριδανού,0,30.575,15.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,478263.635,4202932.591,478263.635,4202913.311,1200.0,4899,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (478239.9199382915 4202932.591127341, 478263.63496810966 4202913.311400028)",999.0,999.0
4899,169130614,residential,1,,,Ηριδανού,0,33.292,15.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,478288.176,4202913.311,478288.176,4202890.834,1200.0,4900,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (478263.63496810966 4202913.311400028, 478288.17603711504 4202890.834112757)",999.0,999.0
4900,169130616,tertiary,1,,,Μαρασλή,0,11.427,30.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,477637.3709,4202928.932,477637.3709,4202917.973,1200.0,4901,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477634.151084406 4202928.932910859, 477637.37090979813 4202917.973077223)",999.0,999.0
4901,169544330,pedestrian,,yes,,Πρασσά Γ.,,55.908,,walk,,,,476837.4788,4203680.98,476837.4788,4203651.756,1200.0,4902,,"LINESTRING (476885.11494525714 4203680.980457436, 476837.47877441766 4203651.756107776)",999.0,999.0
4902,169544331,pedestrian,,yes,,Βαλτετσίου,,53.249,,walk,,,,476808.3518,4203651.756,476808.3518,4203696.308,1200.0,4903,,"LINESTRING (476837.47877441766 4203651.756107776, 476808.3517611775 4203696.308294823)",999.0,999.0
4903,169544332,residential,,yes,,Βαλτετσίου,0,52.332,15.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,0: without pedestrian crossings,476779.2923,4203696.308,476781.8634,4203739.806,1200.0,4904,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (476808.3517611775 4203696.308294823, 476781.86335099564 4203735.960096842, 476779.2923467924 4203739.806342125)",999.0,999.0
4904,169722991,secondary,2,yes,,Υμηττού,0,32.982,30.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,0: without pedestrian crossings,477468.6373,4201672.1,477482.5342,4201653.045,1200.0,4905,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477495.5421896136 4201672.100200782, 477482.5341816738 4201662.882268013, 477468.63726152654 4201653.045450372)",999.0,999.0
4905,169722991,secondary,2,yes,,Υμηττού,0,75.739,30.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,2: with pedestrian crossing controlled by traffic lights,477406.8531,4201653.045,477413.9117,4201609.288,1200.0,4906,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477468.63726152654 4201653.045450372, 477413.91169421276 4201614.2841019565, 477411.3505499058 4201612.471495511, 477406.85314212926 4201609.288383102)",999.0,999.0
4906,169722995,secondary,3,yes,,Υμηττού,0,165.832,30.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,0: without pedestrian crossings,477015.8791,4201428.315,477124.2208,4201334.651,1200.0,4907,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477152.64853564184 4201428.315090958, 477124.220818669 4201408.722023077, 477015.8790793127 4201334.6518236855)",999.0,999.0
4907,169722995,secondary,3,yes,,Υμηττού,0,63.333,30.0,"car,bicycle,escooter,walk",1: good condition,1: no obstacles,0: without pedestrian crossings,476963.9673,4201334.651,476963.9673,4201298.415,1200.0,4908,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477015.8790793127 4201334.6518236855, 476963.96730720723 4201298.415350333)",999.0,999.0
4908,170644473,secondary,2,yes,,Μιχαλακοπούλου,0,7.896,50.0,"car,bicycle,escooter,walk",1: good condition,0: yes obstacles,2: with pedestrian crossing controlled by traffic lights,477882.6163,4202801.743,477882.6163,4202799.278,1200.0,4909,2: Urban road with sidewalk more than 1.5 m wide,"LINESTRING (477890.1146425787 4202801.743801794, 477882.6162756668 4202799.278587098)",999.0,999.0
